Shots,Value,Probability,Qubits Measured
1,"00000",0,"0,1,2,3,4"
1,"00001",0,"0,1,2,3,4"
1,"00010",0,"0,1,2,3,4"
1,"00011",0,"0,1,2,3,4"
1,"00100",0,"0,1,2,3,4"
1,"00101",0,"0,1,2,3,4"
1,"00110",0,"0,1,2,3,4"
1,"00111",0,"0,1,2,3,4"
1,"01000",0,"0,1,2,3,4"
1,"01001",0,"0,1,2,3,4"
1,"01010",0,"0,1,2,3,4"
1,"01011",0,"0,1,2,3,4"
1,"01100",0,"0,1,2,3,4"
1,"01101",0,"0,1,2,3,4"
1,"01110",0,"0,1,2,3,4"
1,"01111",0,"0,1,2,3,4"
1,"10000",0,"0,1,2,3,4"
1,"10001",0,"0,1,2,3,4"
1,"10010",0,"0,1,2,3,4"
1,"10011",0,"0,1,2,3,4"
1,"10100",0,"0,1,2,3,4"
1,"10101",0,"0,1,2,3,4"
1,"10110",0,"0,1,2,3,4"
1,"10111",0.5,"0,1,2,3,4"
1,"11000",0,"0,1,2,3,4"
1,"11001",0,"0,1,2,3,4"
1,"11010",0,"0,1,2,3,4"
1,"11011",0,"0,1,2,3,4"
1,"11100",0,"0,1,2,3,4"
1,"11101",0,"0,1,2,3,4"
1,"11110",0,"0,1,2,3,4"
1,"11111",0.5,"0,1,2,3,4"
