Value,Probability,Qubits Measured
"00000",0.250000,"0,1,2,3,4"
"00001",0.000000,"0,1,2,3,4"
"00010",0.000000,"0,1,2,3,4"
"00011",0.000000,"0,1,2,3,4"
"00100",0.000000,"0,1,2,3,4"
"00101",0.000000,"0,1,2,3,4"
"00110",0.000000,"0,1,2,3,4"
"00111",0.250000,"0,1,2,3,4"
"01000",0.000000,"0,1,2,3,4"
"01001",0.000000,"0,1,2,3,4"
"01010",0.000000,"0,1,2,3,4"
"01011",0.000000,"0,1,2,3,4"
"01100",0.000000,"0,1,2,3,4"
"01101",0.000000,"0,1,2,3,4"
"01110",0.000000,"0,1,2,3,4"
"01111",0.000000,"0,1,2,3,4"
"10000",0.000000,"0,1,2,3,4"
"10001",0.000000,"0,1,2,3,4"
"10010",0.000000,"0,1,2,3,4"
"10011",0.000000,"0,1,2,3,4"
"10100",0.000000,"0,1,2,3,4"
"10101",0.000000,"0,1,2,3,4"
"10110",0.000000,"0,1,2,3,4"
"10111",0.000000,"0,1,2,3,4"
"11000",0.250000,"0,1,2,3,4"
"11001",0.000000,"0,1,2,3,4"
"11010",0.000000,"0,1,2,3,4"
"11011",0.000000,"0,1,2,3,4"
"11100",0.000000,"0,1,2,3,4"
"11101",0.000000,"0,1,2,3,4"
"11110",0.000000,"0,1,2,3,4"
"11111",0.250000,"0,1,2,3,4"
